Date (GMT+2),Non-Renewable,Renewable,Day Ahead Auction (DE-LU)
,Power (MW),Power (MW),"Price (EUR/MWh, EUR/tCO2)"
2024-07-01T00:00+02:00,14758.8,12972.16,94.88
2024-07-01T01:00+02:00,14708.74,12844.95,84.32
2024-07-01T02:00+02:00,14507.87,12414.22,78.19
2024-07-01T03:00+02:00,15184.38,11892.52,78.01
2024-07-01T04:00+02:00,15906.09,12036.13,75.63
2024-07-01T05:00+02:00,17700.63,12987.27,80.82
2024-07-01T06:00+02:00,19131.66,14965.2,122.19
2024-07-01T07:00+02:00,19571.7,19076.28,141.3
2024-07-01T08:00+02:00,19522.14,23949.08,142.36
2024-07-01T09:00+02:00,19068.82,29422.98,115.57
2024-07-01T10:00+02:00,16866.09,34686.95,107.01
2024-07-01T11:00+02:00,14872.89,39070.17,91.67
2024-07-01T12:00+02:00,13957.98,42202.48,77.38
2024-07-01T13:00+02:00,11770.14,43766.91,69.9
2024-07-01T14:00+02:00,10515.76,44709,39.92
2024-07-01T15:00+02:00,11447.86,43503.88,34.61
2024-07-01T16:00+02:00,13538.96,42132.95,37.63
2024-07-01T17:00+02:00,15400.63,39017.33,62.2
2024-07-01T18:00+02:00,17341.75,33504.38,78.04
2024-07-01T19:00+02:00,18779.57,26624.62,102.47
2024-07-01T20:00+02:00,18868.96,22112.3,166.79
2024-07-01T21:00+02:00,19014.02,18891.79,129.1
2024-07-01T22:00+02:00,19205.05,17711.99,107.51
2024-07-01T23:00+02:00,17712.01,17859.42,87.88
2024-07-02T00:00+02:00,16444.63,17872.99,81.59
2024-07-02T01:00+02:00,15012.95,18116.36,79.93
2024-07-02T02:00+02:00,14691.25,18433.68,82.07
2024-07-02T03:00+02:00,14607.51,18206.53,80.95
2024-07-02T04:00+02:00,14771.22,18024.61,81.99
2024-07-02T05:00+02:00,15504.85,18290.47,81.99
2024-07-02T06:00+02:00,17508.63,20791.26,96.5
2024-07-02T07:00+02:00,17712.51,24755.91,100.69
2024-07-02T08:00+02:00,17686.81,30203.07,101.27
2024-07-02T09:00+02:00,16989.33,36050.81,87.5
2024-07-02T10:00+02:00,14849.29,39480.73,83.11
2024-07-02T11:00+02:00,14198.85,39942.86,74.56
2024-07-02T12:00+02:00,14923.09,41776.98,72.72
2024-07-02T13:00+02:00,14280.31,43475.53,69.16
2024-07-02T14:00+02:00,13245.54,43806.91,60.93
2024-07-02T15:00+02:00,13193.03,41941.81,62.73
2024-07-02T16:00+02:00,13373.14,39300.03,74.22
2024-07-02T17:00+02:00,14608.79,36494.67,75.9
2024-07-02T18:00+02:00,16814.09,32498.04,84.79
2024-07-02T19:00+02:00,17958.03,28636.91,103.63
2024-07-02T20:00+02:00,17881.4,25370.9,115
2024-07-02T21:00+02:00,17909.28,23197.65,109.96
2024-07-02T22:00+02:00,17810.93,21625.93,109.05
2024-07-02T23:00+02:00,17391.85,20850.38,86
2024-07-03T00:00+02:00,16078.81,20128.79,68.19
2024-07-03T01:00+02:00,15741.44,19826.12,65.3
2024-07-03T02:00+02:00,15303.07,19381.82,63.18
2024-07-03T03:00+02:00,15400.35,19378.59,65.58
2024-07-03T04:00+02:00,15319.38,18830.19,71.14
2024-07-03T05:00+02:00,16683.68,18592.32,78.91
2024-07-03T06:00+02:00,18957.03,19443.34,100.25
2024-07-03T07:00+02:00,19291.14,21958.51,116.51
2024-07-03T08:00+02:00,19200.27,26953.47,115
2024-07-03T09:00+02:00,18705.23,32543.71,90.59
2024-07-03T10:00+02:00,17511.81,37515.37,76.63
2024-07-03T11:00+02:00,15897.78,40378.14,73.1
2024-07-03T12:00+02:00,15658.64,41521.32,71.76
2024-07-03T13:00+02:00,15687.02,40324.16,71.14
2024-07-03T14:00+02:00,15712.21,37016.3,73.12
2024-07-03T15:00+02:00,16450.74,34022.45,71.98
2024-07-03T16:00+02:00,16999.25,30925.96,74.01
2024-07-03T17:00+02:00,17958.15,26923.48,86.97
2024-07-03T18:00+02:00,19717.07,23281.71,99.6
2024-07-03T19:00+02:00,20637.58,19334.9,118.79
2024-07-03T20:00+02:00,21272.12,16050.69,163.89
2024-07-03T21:00+02:00,20598.07,15210.13,115.88
2024-07-03T22:00+02:00,19106.05,16431.9,95.32
2024-07-03T23:00+02:00,14070.2,19117.96,76.1
2024-07-04T00:00+02:00,9340.17,22500.66,64.24
