Date (GMT+2),Solar,"Solar forecast (Day-Ahead, D-1 18:00)"
,Power (MW),Power (MW)
2024-10-01T00:00+02:00,0,0
2024-10-01T00:15+02:00,0,0
2024-10-01T00:30+02:00,0,0
2024-10-01T00:45+02:00,0,0
2024-10-01T01:00+02:00,0,0
2024-10-01T01:15+02:00,0,0
2024-10-01T01:30+02:00,0,0
2024-10-01T01:45+02:00,0,0
2024-10-01T02:00+02:00,0,0
2024-10-01T02:15+02:00,0,0
2024-10-01T02:30+02:00,0,0
2024-10-01T02:45+02:00,0,0
2024-10-01T03:00+02:00,0,0
2024-10-01T03:15+02:00,0,0
2024-10-01T03:30+02:00,0,0
2024-10-01T03:45+02:00,0,0
2024-10-01T04:00+02:00,0,0
2024-10-01T04:15+02:00,0,0
2024-10-01T04:30+02:00,0,0
2024-10-01T04:45+02:00,0,0
2024-10-01T05:00+02:00,0,0
2024-10-01T05:15+02:00,0,0
2024-10-01T05:30+02:00,0,0
2024-10-01T05:45+02:00,0,0
2024-10-01T06:00+02:00,0,0
2024-10-01T06:15+02:00,0,0
2024-10-01T06:30+02:00,0,0
2024-10-01T06:45+02:00,0.9,1.5
2024-10-01T07:00+02:00,34.4,40.1
2024-10-01T07:15+02:00,112,159.4
2024-10-01T07:30+02:00,374.1,422.4
2024-10-01T07:45+02:00,915.3,905.1
2024-10-01T08:00+02:00,1648,1640
2024-10-01T08:15+02:00,2554.2,2608.8
2024-10-01T08:30+02:00,3708.4,3733.4
2024-10-01T08:45+02:00,4905.8,4926.9
2024-10-01T09:00+02:00,6127.7,6146.6
2024-10-01T09:15+02:00,7408.1,7426.2
2024-10-01T09:30+02:00,8572,8721.8
2024-10-01T09:45+02:00,9830.7,9968.2
2024-10-01T10:00+02:00,11139.5,11151.8
2024-10-01T10:15+02:00,12495.2,12291.1
2024-10-01T10:30+02:00,13459.2,13349.7
2024-10-01T10:45+02:00,14350.2,14323.5
2024-10-01T11:00+02:00,15103.5,15264.3
2024-10-01T11:15+02:00,15679.4,16181.4
2024-10-01T11:30+02:00,16145.7,16976.5
2024-10-01T11:45+02:00,16274.3,17608.1
2024-10-01T12:00+02:00,16320.9,18089.6
2024-10-01T12:15+02:00,16257.3,18413.2
2024-10-01T12:30+02:00,16291.1,18626
2024-10-01T12:45+02:00,16231.4,18726.4
2024-10-01T13:00+02:00,16249.8,18736.8
2024-10-01T13:15+02:00,16440.6,18657.5
2024-10-01T13:30+02:00,16006.1,18448
2024-10-01T13:45+02:00,15711.7,18143
2024-10-01T14:00+02:00,15393.3,17741.3
2024-10-01T14:15+02:00,15041.7,17219.4
2024-10-01T14:30+02:00,14494.9,16567.8
2024-10-01T14:45+02:00,13817.6,15803.7
2024-10-01T15:00+02:00,13060.7,14985.2
2024-10-01T15:15+02:00,12449.1,14106.5
2024-10-01T15:30+02:00,11624,13134.5
2024-10-01T15:45+02:00,10698.5,12071.8
2024-10-01T16:00+02:00,9732.6,10919.8
2024-10-01T16:15+02:00,8437.8,9667
2024-10-01T16:30+02:00,7279,8372
2024-10-01T16:45+02:00,6070.7,7097.7
2024-10-01T17:00+02:00,4930,5870.9
2024-10-01T17:15+02:00,3884.9,4639.8
2024-10-01T17:30+02:00,2900.9,3442.5
2024-10-01T17:45+02:00,2035.4,2368.1
2024-10-01T18:00+02:00,1292,1502.8
2024-10-01T18:15+02:00,699.4,864.9
2024-10-01T18:30+02:00,280.9,428.2
2024-10-01T18:45+02:00,74.3,146.2
2024-10-01T19:00+02:00,10.3,20.1
2024-10-01T19:15+02:00,0.9,2.6
2024-10-01T19:30+02:00,0.1,1.5
2024-10-01T19:45+02:00,0,0
2024-10-01T20:00+02:00,0,0
2024-10-01T20:15+02:00,0,0
2024-10-01T20:30+02:00,0,0
2024-10-01T20:45+02:00,0,0
2024-10-01T21:00+02:00,0,0
2024-10-01T21:15+02:00,0,0
2024-10-01T21:30+02:00,0,0
2024-10-01T21:45+02:00,0,0
2024-10-01T22:00+02:00,0,0
2024-10-01T22:15+02:00,0,0
2024-10-01T22:30+02:00,0,0
2024-10-01T22:45+02:00,0,0
2024-10-01T23:00+02:00,0,0
2024-10-01T23:15+02:00,0,0
2024-10-01T23:30+02:00,0,0
2024-10-01T23:45+02:00,0,0
2024-10-02T00:00+02:00,0,0
2024-10-02T00:15+02:00,0,0
2024-10-02T00:30+02:00,0,0
2024-10-02T00:45+02:00,0,0
2024-10-02T01:00+02:00,0,0
2024-10-02T01:15+02:00,0,0
2024-10-02T01:30+02:00,0,0
2024-10-02T01:45+02:00,0,0
2024-10-02T02:00+02:00,0,0
2024-10-02T02:15+02:00,0,0
2024-10-02T02:30+02:00,0,0
2024-10-02T02:45+02:00,0,0
2024-10-02T03:00+02:00,0,0
2024-10-02T03:15+02:00,0,0
2024-10-02T03:30+02:00,0,0
2024-10-02T03:45+02:00,0,0
2024-10-02T04:00+02:00,0,0
2024-10-02T04:15+02:00,0,0
2024-10-02T04:30+02:00,0,0
2024-10-02T04:45+02:00,0,0
2024-10-02T05:00+02:00,0,0
2024-10-02T05:15+02:00,0,0
2024-10-02T05:30+02:00,0,0
2024-10-02T05:45+02:00,0,0
2024-10-02T06:00+02:00,0,0
2024-10-02T06:15+02:00,0,0
2024-10-02T06:30+02:00,0,0
2024-10-02T06:45+02:00,0,1.7
2024-10-02T07:00+02:00,4.1,18.9
2024-10-02T07:15+02:00,101.2,74.6
2024-10-02T07:30+02:00,196.3,203.4
2024-10-02T07:45+02:00,475.3,468
2024-10-02T08:00+02:00,947.6,904.2
2024-10-02T08:15+02:00,1528.3,1495.2
2024-10-02T08:30+02:00,2243.8,2191.9
2024-10-02T08:45+02:00,3006.2,2946.1
2024-10-02T09:00+02:00,3761.3,3731.6
2024-10-02T09:15+02:00,4584.6,4555.1
2024-10-02T09:30+02:00,5491,5408.9
2024-10-02T09:45+02:00,6439.3,6275.6
2024-10-02T10:00+02:00,7403.7,7150.8
2024-10-02T10:15+02:00,8424.6,8042.4
2024-10-02T10:30+02:00,9348.9,8891
2024-10-02T10:45+02:00,10203,9669.8
2024-10-02T11:00+02:00,10990.9,10411.5
2024-10-02T11:15+02:00,11771.5,11128
2024-10-02T11:30+02:00,12456.9,11747.7
2024-10-02T11:45+02:00,13149.2,12259.3
2024-10-02T12:00+02:00,13565.7,12715.4
2024-10-02T12:15+02:00,13986,13113.9
2024-10-02T12:30+02:00,14221,13395.5
2024-10-02T12:45+02:00,14283.9,13598
2024-10-02T13:00+02:00,14350.9,13744.1
2024-10-02T13:15+02:00,14610,13833
2024-10-02T13:30+02:00,14712.3,13818.6
2024-10-02T13:45+02:00,14616.1,13700.2
2024-10-02T14:00+02:00,14543.6,13513.6
2024-10-02T14:15+02:00,14525.2,13268.7
2024-10-02T14:30+02:00,14349,12907.5
2024-10-02T14:45+02:00,13914.8,12453.4
2024-10-02T15:00+02:00,13522.6,11952.5
2024-10-02T15:15+02:00,12755.3,11396.5
2024-10-02T15:30+02:00,12038.8,10721.1
2024-10-02T15:45+02:00,11295.7,9937.4
2024-10-02T16:00+02:00,10353.3,9096.6
2024-10-02T16:15+02:00,9462.2,8183.7
2024-10-02T16:30+02:00,8459.7,7198.1
2024-10-02T16:45+02:00,7318.6,6176.1
2024-10-02T17:00+02:00,6122.3,5163.8
2024-10-02T17:15+02:00,4927.5,4139.9
2024-10-02T17:30+02:00,3722,3119.1
2024-10-02T17:45+02:00,2653.3,2172
2024-10-02T18:00+02:00,1687,1383.2
2024-10-02T18:15+02:00,860.8,787.6
2024-10-02T18:30+02:00,292.2,362.2
2024-10-02T18:45+02:00,52.4,105.8
2024-10-02T19:00+02:00,4,12.4
2024-10-02T19:15+02:00,0.3,2.9
2024-10-02T19:30+02:00,0,1.5
2024-10-02T19:45+02:00,0,0
2024-10-02T20:00+02:00,0,0
2024-10-02T20:15+02:00,0,0
2024-10-02T20:30+02:00,0,0
2024-10-02T20:45+02:00,0,0
2024-10-02T21:00+02:00,0,0
2024-10-02T21:15+02:00,0,0
2024-10-02T21:30+02:00,0,0
2024-10-02T21:45+02:00,0,0
2024-10-02T22:00+02:00,0,0
2024-10-02T22:15+02:00,0,0
2024-10-02T22:30+02:00,0,0
2024-10-02T22:45+02:00,0,0
2024-10-02T23:00+02:00,0,0
2024-10-02T23:15+02:00,0,0
2024-10-02T23:30+02:00,0,0
2024-10-02T23:45+02:00,0,0
2024-10-03T00:00+02:00,0,0
2024-10-03T00:15+02:00,0,0
2024-10-03T00:30+02:00,0,0
2024-10-03T00:45+02:00,0,0
2024-10-03T01:00+02:00,0,0
2024-10-03T01:15+02:00,0,0
2024-10-03T01:30+02:00,0,0
2024-10-03T01:45+02:00,0,0
2024-10-03T02:00+02:00,0,0
2024-10-03T02:15+02:00,0,0
2024-10-03T02:30+02:00,0,0
2024-10-03T02:45+02:00,0,0
